Done,Topic,Question Name,Difficulty,Level,Source,LeetCode Link,Notes
FALSE,Searching,Linear Search (Implement),Easy,Basic,College,https://leetcode.com/problems/binary-search/,Implement iterative linear search
FALSE,Searching,Binary Search (Implement),Easy,Basic,College,https://leetcode.com/problems/binary-search/,Implement iterative & recursive
FALSE,Searching,Binary Search,Easy,Basic,NeetCode,https://leetcode.com/problems/binary-search/,Standard Library usage
FALSE,Searching,Search Insert Position,Easy,Basic,NeetCode,https://leetcode.com/problems/search-insert-position/,
FALSE,Searching,Guess Number Higher or Lower,Easy,Basic,NeetCode,https://leetcode.com/problems/guess-number-higher-or-lower/,
FALSE,Searching,Sqrt(x),Easy,Basic,NeetCode,https://leetcode.com/problems/sqrtx/,
FALSE,Searching,First Bad Version,Easy,Basic,NeetCode,https://leetcode.com/problems/first-bad-version/,
FALSE,Searching,Valid Perfect Square,Easy,Basic,NeetCode,https://leetcode.com/problems/valid-perfect-square/,
FALSE,Searching,Arranging Coins,Easy,Basic,NeetCode,https://leetcode.com/problems/arranging-coins/,
FALSE,Searching,Search a 2D Matrix,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/search-a-2d-matrix/,
FALSE,Searching,Find First and Last Position,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,
FALSE,Searching,Find Peak Element,Medium,Core,NeetCode,https://leetcode.com/problems/find-peak-element/,
FALSE,Searching,Search in Rotated Sorted Array,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/search-in-rotated-sorted-array/,
FALSE,Searching,Search in Rotated Sorted Array II,Medium,Core,NeetCode,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,
FALSE,Searching,Find Minimum in Rotated Sorted Array,Medium,Core,NeetCode,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
FALSE,Searching,Single Element in a Sorted Array,Medium,Core,Striver,https://leetcode.com/problems/single-element-in-a-sorted-array/,
FALSE,Searching,Koko Eating Bananas,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/koko-eating-bananas/,
FALSE,Searching,Capacity To Ship Packages Within D Days,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,
FALSE,Searching,Time Based Key-Value Store,Medium,Core,NeetCode,https://leetcode.com/problems/time-based-key-value-store/,
FALSE,Searching,Median of Two Sorted Arrays,Hard,Advanced,NeetCode + Striver,https://leetcode.com/problems/median-of-two-sorted-arrays/,
FALSE,Searching,Split Array Largest Sum,Hard,Advanced,NeetCode + Striver,https://leetcode.com/problems/split-array-largest-sum/,
FALSE,Sorting,Bubble Sort (Implement),Easy,Basic,College,https://leetcode.com/problems/sort-an-array/,Focus on swapping logic
FALSE,Sorting,Selection Sort (Implement),Easy,Basic,College,https://leetcode.com/problems/sort-an-array/,Focus on finding min index
FALSE,Sorting,Insertion Sort (Implement),Easy,Basic,College,https://leetcode.com/problems/sort-an-array/,Focus on shifting elements
FALSE,Sorting,Merge Sort (Implement),Medium,Basic,College,https://leetcode.com/problems/sort-an-array/,Focus on recursion & merge step
FALSE,Sorting,Quick Sort (Implement),Medium,Basic,College,https://leetcode.com/problems/sort-an-array/,Focus on pivoting logic
FALSE,Sorting,Merge Sorted Array,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/merge-sorted-array/,
FALSE,Sorting,Majority Element,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/majority-element/,
FALSE,Sorting,Contains Duplicate,Easy,Basic,NeetCode,https://leetcode.com/problems/contains-duplicate/,
FALSE,Sorting,Sort Colors,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/sort-colors/,Dutch National Flag Algo
FALSE,Sorting,Sort an Array,Medium,Core,NeetCode,https://leetcode.com/problems/sort-an-array/,
FALSE,Sorting,Kth Largest Element in an Array,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/kth-largest-element-in-an-array/,
FALSE,Sorting,Top K Frequent Elements,Medium,Core,NeetCode,https://leetcode.com/problems/top-k-frequent-elements/,
FALSE,Sorting,Merge Intervals,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/merge-intervals/,
FALSE,Sorting,Non-overlapping Intervals,Medium,Core,NeetCode,https://leetcode.com/problems/non-overlapping-intervals/,
FALSE,Sorting,Meeting Rooms,Easy,Core,NeetCode,https://leetcode.com/problems/meeting-rooms/,
FALSE,Sorting,Meeting Rooms II,Medium,Core,NeetCode,https://leetcode.com/problems/meeting-rooms-ii/,
