Done,Topic,Question Name,Difficulty,Level,Source,LeetCode Link,Notes
FALSE,Trees,Binary Tree Inorder Traversal,Easy,Basic,College,https://leetcode.com/problems/binary-tree-inorder-traversal/,Implement Recursive & Iterative
FALSE,Trees,Binary Tree Preorder Traversal,Easy,Basic,College,https://leetcode.com/problems/binary-tree-preorder-traversal/,Implement Recursive & Iterative
FALSE,Trees,Binary Tree Postorder Traversal,Easy,Basic,College,https://leetcode.com/problems/binary-tree-postorder-traversal/,Implement Recursive & Iterative
FALSE,Trees,Search in a Binary Search Tree,Easy,Basic,College,https://leetcode.com/problems/search-in-a-binary-search-tree/,Standard BST Search
FALSE,Trees,Insert into a Binary Search Tree,Medium,Basic,College,https://leetcode.com/problems/insert-into-a-binary-search-tree/,Standard Insert Logic
FALSE,Trees,Delete Node in a BST,Medium,Basic,College,https://leetcode.com/problems/delete-node-in-a-bst/,Standard Delete (3 cases)
FALSE,Trees,Maximum Depth of Binary Tree,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Height calculation
FALSE,Trees,Minimum Depth of Binary Tree,Easy,Basic,NeetCode,https://leetcode.com/problems/minimum-depth-of-binary-tree/,BFS often faster than DFS
FALSE,Trees,Invert Binary Tree,Easy,Basic,NeetCode,https://leetcode.com/problems/invert-binary-tree/,Swap left and right children
FALSE,Trees,Same Tree,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/same-tree/,Compare structure and values
FALSE,Trees,Symmetric Tree,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/symmetric-tree/,Mirror check
FALSE,Trees,Subtree of Another Tree,Easy,Basic,NeetCode,https://leetcode.com/problems/subtree-of-another-tree/,Traversal matching
FALSE,Trees,Balanced Binary Tree,Easy,Core,NeetCode + Striver,https://leetcode.com/problems/balanced-binary-tree/,Check height diff <= 1
FALSE,Trees,Diameter of Binary Tree,Easy,Core,NeetCode + Striver,https://leetcode.com/problems/diameter-of-binary-tree/,Longest path between any two nodes
FALSE,Trees,Binary Tree Level Order Traversal,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/binary-tree-level-order-traversal/,BFS Queue implementation
FALSE,Trees,Binary Tree Zigzag Level Order Traversal,Medium,Core,Striver,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,BFS with direction flag
FALSE,Trees,Binary Tree Right Side View,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/binary-tree-right-side-view/,DFS (Right first) or BFS
FALSE,Trees,Top View of Binary Tree,Medium,Core,Striver,https://www.geeksforgeeks.org/top-view-of-binary-tree/,Vertical Level Tracking (GFG Link)
FALSE,Trees,Bottom View of Binary Tree,Medium,Core,Striver,https://www.geeksforgeeks.org/bottom-view-of-a-binary-tree/,Vertical Level Tracking (GFG Link)
FALSE,Trees,Vertical Order Traversal of a Binary Tree,Hard,Core,Striver,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Sorting by (col row val)
FALSE,Trees,Lowest Common Ancestor of a Binary Tree,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Recursive path finding
FALSE,Trees,Path Sum,Easy,Basic,Striver,https://leetcode.com/problems/path-sum/,Root to leaf sum check
FALSE,Trees,Path Sum II,Medium,Core,Striver,https://leetcode.com/problems/path-sum-ii/,Return all paths
FALSE,Trees,Count Good Nodes in Binary Tree,Medium,Core,NeetCode,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Track max in path
FALSE,Trees,Boundary Traversal of Binary Tree,Medium,Core,Striver,https://leetcode.com/problems/boundary-of-binary-tree/,Left + Leaves + Right Reverse (Premium/GFG)
FALSE,Trees,Construct Binary Tree from Preorder and Inorder,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Using Hashmap for Index
FALSE,Trees,Construct Binary Tree from Inorder and Postorder,Medium,Core,Striver,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Reverse Postorder Logic
FALSE,Trees,Serialize and Deserialize Binary Tree,Hard,Advanced,NeetCode + Striver,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,BFS or Preorder string conversion
FALSE,Trees,Binary Tree Maximum Path Sum,Hard,Advanced,NeetCode + Striver,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Global Max variable update
FALSE,Trees,Flatten Binary Tree to Linked List,Medium,Advanced,Striver,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Morris Traversal or Recursion
FALSE,BST,Lowest Common Ancestor of a BST,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Use BST property (val < root < val)
FALSE,BST,Validate Binary Search Tree,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/validate-binary-search-tree/,Range (min max) propagation
FALSE,BST,Kth Smallest Element in a BST,Medium,Core,NeetCode + Striver,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Inorder Traversal is Sorted
FALSE,BST,Two Sum IV - Input is a BST,Easy,Core,Striver,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,HashSet or Inorder List
FALSE,BST,Construct Binary Search Tree from Preorder,Medium,Core,Striver,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,Bound range method
FALSE,BST,Floor in BST,Medium,Core,Striver,https://www.geeksforgeeks.org/floor-in-binary-search-tree-bst/,Find <= Key (GFG Link)
FALSE,BST,Ceil in BST,Medium,Core,Striver,https://www.geeksforgeeks.org/ceil-in-binary-search-tree/,Find >= Key (GFG Link)
FALSE,BST,Recover Binary Search Tree,Medium,Advanced,Striver,https://leetcode.com/problems/recover-binary-search-tree/,Fix two swapped nodes
FALSE,BST,Binary Search Tree Iterator,Medium,Core,Striver,https://leetcode.com/problems/binary-search-tree-iterator/,Stack based Inorder
