Done,Topic,Question Name,Difficulty,Level,Source,LeetCode Link,Notes
FALSE,Arrays,Array Traversal (Read/Print),Easy,Basic,College,https://leetcode.com/problems/build-array-from-permutation/,Iterate loop and access index
FALSE,Arrays,Insert Element at Index,Easy,Basic,College,https://leetcode.com/problems/duplicate-zeros/,Requires shifting elements right manually
FALSE,Arrays,Delete Element at Index,Easy,Basic,College,https://leetcode.com/problems/remove-element/,Requires shifting elements left manually
FALSE,Arrays,Update Element (Replace),Easy,Basic,College,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side/,Direct index access
FALSE,Arrays,Concatenation of Array,Easy,Basic,NeetCode,https://leetcode.com/problems/concatenation-of-array/,
FALSE,Arrays,Remove Element,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/remove-element/,In-place removal (Two Pointer)
FALSE,Arrays,Remove Duplicates from Sorted Array,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,
FALSE,Arrays,Remove Duplicates from Sorted Array II,Medium,Core,NeetCode,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,
FALSE,Arrays,Move Zeroes,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/move-zeroes/,Shift logic
FALSE,Arrays,Two Sum,Easy,Core,NeetCode + Striver,https://leetcode.com/problems/two-sum/,HashMap for O(n)
FALSE,Arrays,Two Sum II - Input Array Sorted,Medium,Core,NeetCode,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Two Pointer
FALSE,Arrays,Best Time to Buy and Sell Stock,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,One pass tracking min price
FALSE,Arrays,Best Time to Buy and Sell Stock II,Medium,Core,NeetCode,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Accumulate positive slopes
FALSE,Arrays,Majority Element,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/majority-element/,Moore's Voting Algo
FALSE,Arrays,Majority Element II,Medium,Core,Striver,https://leetcode.com/problems/majority-element-ii/,Find elements appearing > n/3 times
FALSE,Arrays,Pascals Triangle,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/pascals-triangle/,
FALSE,Arrays,Missing Number,Easy,Basic,NeetCode + Striver,https://leetcode.com/problems/missing-number/,Sum or XOR trick
